"id","user_id","total","status_ticket","type_payment","created_at","updated_at","deleted_at","discount"
"280e0ff855ef4d69a166b5e18595b3c6","9d1ea2cd01a64dcd8845eee558197590","185","ACCEPTED",NULL,"2024-10-31 20:16:25","2024-10-31 16:08:21",NULL,"0"
"295b666339fe42989ec0a34a89f73f2b","9d1ea2cd01a64dcd8845eee558197590","137","ACCEPTED",NULL,"2024-11-20 18:20:38","2024-11-07 12:19:41",NULL,"0"
"298ab082708a4234b0a582d1c80779bb","9d1ea2cd01a64dcd8845eee558197590","24","ACCEPTED",NULL,"2024-10-30 19:51:39","2024-10-30 16:19:49",NULL,"0"
"29ae6aaec18747f5a598ecc14abfc77d","9d1ea2cd01a64dcd8845eee558197590","527","ACCEPTED",NULL,"2024-11-04 22:34:44","2024-11-04 13:36:41",NULL,"0"
"2ca9dedbbe2249609ce0775accec5e64","9d1ea2cd01a64dcd8845eee558197590","38","ACCEPTED",NULL,"2024-11-05 17:32:52","2024-11-05 16:02:23",NULL,"0"
"2fb441e96a744655bbefba23ec4352f9","9d1ea2cd01a64dcd8845eee558197590","36","ACCEPTED",NULL,"2024-06-10 11:49:35","2024-06-10 09:09:11",NULL,"0"
"2fc40d0d4fcb49bf8a39b75435d93239","9d1ea2cd01a64dcd8845eee558197590","98","ACCEPTED",NULL,"2024-10-08 18:40:50","2024-10-08 17:00:38",NULL,"0"
"307f42bf397547bc95a04fc8ca94a462","9d1ea2cd01a64dcd8845eee558197590","130","ACCEPTED",NULL,"2024-09-13 20:28:55","2024-09-13 01:00:12",NULL,"0"
"30f124512dfa4331be65b3ba3e8e5e0a","9d1ea2cd01a64dcd8845eee558197590","55","ACCEPTED",NULL,"2024-09-02 17:49:38","2024-09-02 01:00:12",NULL,"0"
"3243820ee7314130bc2b7caeeac85b0c","9d1ea2cd01a64dcd8845eee558197590","86","ACCEPTED",NULL,"2024-11-02 19:43:22","2024-11-02 19:28:19",NULL,"0"
"32c1693988a842ecb53fdcd834d9fa28","9d1ea2cd01a64dcd8845eee558197590","65","ACCEPTED",NULL,"2024-12-10 19:11:32","2024-11-26 12:56:41",NULL,"0"
"32e1def56ced4a9896604a9c94e555ec","9d1ea2cd01a64dcd8845eee558197590","25","ACCEPTED",NULL,"2024-11-16 17:07:05","2024-11-07 12:19:41",NULL,"0"
"348e46224803445f9480de1edcd86041","9d1ea2cd01a64dcd8845eee558197590","130","ACCEPTED",NULL,"2024-12-08 18:08:06","2024-11-26 12:56:41",NULL,"0"
"34c07f05a49e4a15b0170986b9cb2023","9d1ea2cd01a64dcd8845eee558197590","130","ACCEPTED",NULL,"2024-06-14 17:15:26","2024-06-14 11:04:58",NULL,"0"
"34f6dfe53bc546148671c11059982649","9d1ea2cd01a64dcd8845eee558197590","113","ACCEPTED",NULL,"2024-09-19 17:04:54","2024-09-19 01:00:12",NULL,"0"
"35ce1870b1794293a9eb9023ff3a6e54","9d1ea2cd01a64dcd8845eee558197590","240","ACCEPTED",NULL,"2024-07-30 19:16:35","2024-07-30 01:00:12",NULL,"0"
"36c9668956374b53a184159fe8479f40","9d1ea2cd01a64dcd8845eee558197590","196","ACCEPTED",NULL,"2024-07-19 20:01:09","2024-07-19 16:09:48",NULL,"0"
"389f9ad15fca48c9bb53f500c3f6a49b","9d1ea2cd01a64dcd8845eee558197590","55","ACCEPTED",NULL,"2024-11-01 19:32:07","2024-11-01 10:11:20",NULL,"0"
